"candidate_id","announcement_at","evidence_lines","relaunch_lines","canonical_name","orientation","capacity_mode","capacity","credited_hours","start_date_or_text","db_launch_ids","reconciliation_status","field_issues","recommended_action"
"WA24-011","2024-04-04 18:21:00","644-650","","UFLO — Entrevistas a Psicólogos","Mixta","realizado","","20","abierta hasta fin de 2024","","missing_launch_with_practices","Hay 12 prácticas UFLO Entrevista a Profesionales entre abril y octubre sin lanzamiento.","Crear lanzamiento continuo con cupo realizado y vincular las 12 prácticas."
"WA24-012","2024-04-08 14:17:57","656-668","","UFLO — SAU/PAOS","Educacional","fijo","5","variable","marzo-julio 2024","","missing_launch_with_practices","Hay 5 prácticas del primer período y una adicional en agosto; existen tres instituciones maestras duplicadas con el mismo nombre.","Deduplicar/seleccionar institución UFLO, crear lanzamiento del primer período y revisar por separado la práctica de agosto."
"WA24-013","2024-04-14 19:05:21","679-685","","Instituto LIENS — primer período","Clínica","fijo","4","50","2024-04-17","1c56fcd0-20d7-4ab4-a824-4003605dbdda","strong_match_date_conflict","La base inicia 2024-04-26, registra 28 horas y 1 cupo.","Vincular fuente; validar fecha efectiva con planilla antes de corregir."
"WA24-014","2024-04-24 11:57:27","695-702","","Programa Provincial de Becas Dr. Gregorio Álvarez","Educacional","fijo","4","45","tres semanas desde fin de abril","db8903a9-d164-4005-9dc8-29bdd47b7768","strong_match","La base inicia 2024-05-03, registra 53 horas y 4 cupos.","Vincular fuente; capacidad coincide. Conservar horas previstas y realizadas como conceptos distintos."
"WA24-015","2024-04-25 12:10:25","704-708","","Asociación PENSAR — Dispositivo AYUN","Comunitaria","desconocido","","variable","abril-noviembre 2024","","missing_launch","Existe institución maestra única, pero no lanzamiento ni práctica con nombre AYUN.","Crear lanzamiento histórico con capacidad desconocida y resultado desconocido."
"WA24-016","2024-05-06 15:06:45","709-714","","CRYBE General Roca — primer período","Clínica","fijo","2","120","2024-05-08","4d8f028b-5d47-492d-b3ff-ac7bdf9b91e7","strong_match","La base guarda 4 cupos, que parece mezclar participantes de ambos períodos.","Vincular fuente y separar primer y segundo período."
"WA24-017","2024-05-16 16:37:27","716-728","","Jornadas de Fútbol Valorado","Comunitaria","realizado","","10","2024-05-30 o 2024-05-31","e4e1bb77-b3a3-4eab-bbcc-bac48e57a402|14af5638-4784-4f5e-acb9-8e5431faaea1|918244ff-6ca9-4900-86e5-86093cf7d131","duplicate_and_invalid_date","La aclaración final permite acreditar solo una jornada de 10 horas. La base guarda 20 horas por fila y una tercera fila 2024-08-31 que finaliza 2024-05-31.","Corregir/eliminar lógicamente la fila imposible tras revisar planillas; modelar dos opciones bajo una oferta."
"WA24-018","2024-05-27 12:34:50","731-737","","Programa Mindfulness y Compasión M-PBI","Clínica","fijo","21","25","2024-06-28/29","","missing_launch","No hay coincidencia temporal/nominativa clara en lanzamientos o prácticas.","Crear candidato histórico; confirmar institución y si llegó a realizarse."
"WA24-019","2024-05-27 18:53:04","738-744","","Centro SENSUS — Hospital de Día","Clínica","fijo","2","120","junio-julio 2024","15461705-bb1b-4fb9-be9a-20c476727bf5","strong_match","La base inicia 2024-06-03, registra 204 horas y 1 cupo.","Vincular fuente y separar oferta de realización."
"WA24-020","2024-05-29 14:37:27","757-764","","Hospital Fernández Oro","Clínica","fijo","2","65","primera semana de junio 2024","71cecfe5-08f6-49f8-aa72-ff4c8547dffc","strong_match","La base inicia 2024-06-06 y guarda 1 cupo.","Vincular fuente; capacidad ofrecida 2."
"WA24-021","2024-06-04 17:04:08","768-779","","Sol Mapu — Proyecto de Vida Escuela 294","Educacional","fijo","9","15","2024-06-14","4f89e8d8-4ea6-4305-8c8e-d98d3f39a24e|431dca97-c213-482a-82ea-fe773f0b48f9|49199f73-8818-41e9-93dd-47abc5fcf573","one_offer_many_rows","La base divide la oferta en tres filas con 7 cupos totales.","Consolidar oferta y modelar tres grupos como slots."
"WA24-022","2024-06-05 16:25:57","780-791","","Sol Mapu — Gestión de Emociones Escuela 294","Clínica","fijo","12","20","junio-julio 2024","bb3a3a7e-8c36-416d-ac6f-305b300414b2|638b0f99-652c-4f09-8af1-05aff0cd6bbf|17dd9242-4340-4142-8e21-5a606d8e0bdf|b125ad03-eafb-4d0e-89e2-977896bd1ece","one_offer_many_rows","La base divide la oferta en cuatro filas con 11 cupos totales.","Consolidar oferta y modelar cuatro grupos como slots."
"WA24-023","2024-06-06 10:32:55","792-800","","Sol Mapu — Crianza Respetuosa Jardín 49","Comunitaria","fijo","6","12","2024-06-14","5284fc7c-5a9e-42ed-ad7c-916e9927d066|ceb7d899-b749-4ae0-8ea5-12a7594931aa|00d132be-3bdc-488f-a8a7-80103842c9e1|2b3cd409-bb86-444f-80e8-d406c580cbb6","ambiguous_split","Las filas genéricas de Crianza Respetuosa y Sol Mapu no identifican inequívocamente el Jardín 49.","Resolver con planillas/tutor y luego consolidar turnos mañana/tarde."
"WA24-024","2024-06-13 12:44:19","802-809","","Sol Mapu — Crianza Respetuosa Jardín 50","Comunitaria","fijo","4","12","2024-06-26","3274b5cf-1e43-4301-b137-69eda5a23c69","strong_match_with_split_risk","La fila exacta guarda 3 cupos y hay filas genéricas potencialmente relacionadas.","Vincular la fila exacta y revisar planillas antes de reasignar filas genéricas."
"WA24-025","2024-07-24 14:33:29","829-847","","Prevención de Consumos Problemáticos — primer período","Comunitaria","fijo","12","40","2024-07-29","0b02038b-45ba-4a25-b957-28c5dab0c78e","strong_match","La base guarda 13 cupos.","Vincular fuente y revisar si el cupo 13 fue reemplazo/sobreasignación."
"WA24-026","2024-08-05 10:23:21","853-858","","Investigación — Relaciones de Pareja y Sexualidad 50-70","A elección","fijo","4","30","2024-08-24","","missing_launch_with_practices","Hay prácticas UFLO Investigación en agosto y una institución maestra específica, pero no lanzamiento.","Crear lanzamiento histórico y vincular las prácticas del segundo período."
"WA24-027","2024-08-05 18:09:45","859-868","","Centro de Salud Parque Industrial — segundo período","Clínica","fijo","3","60/30 por slot","2024-08-12/14","01b1f503-3c97-40f3-a04c-e878fbda227e","strong_match","La base agrega ambos dispositivos en una fila con 4 cupos y 69 horas.","Modelar dos slots y vincular las 3 prácticas; mantener las horas por slot."
"WA24-028","2024-08-08 11:41:03","870-888","","Centro de Psicoterapia Corporal PATAGONIA","Clínica","fijo","6","42","2024-08-16","562d34c0-c824-4082-b25c-3cae8ea632d0","exact_match","Nombre, inicio, capacidad y horas coinciden.","Vincular fuente e institución; candidato de referencia para validar el método."
"WA24-029","2024-08-12 12:35:49","902-916","","Fundación Tiempo — Orientación Clínica Adultos","Clínica","realizado","","30","2024-08-14","008d1d3d-57c6-407c-98a9-99dbe9b4832b","probable_match","El chat confirma dos convocatorias sin límite y luego Fundación Tiempo, pero no detalla Adultos/Niños en el mensaje.","Vincular como evidencia secundaria; conservar cupo realizado."
"WA24-030","2024-08-12 12:35:49","902-916","","Fundación Tiempo — Orientación Clínica Niños","Clínica","realizado","","30","2024-08-16","f891c34e-a39b-45c1-8a3b-59b91b409489","probable_match","El chat confirma dos convocatorias sin límite y luego Fundación Tiempo, pero no detalla Adultos/Niños en el mensaje.","Vincular como evidencia secundaria; conservar cupo realizado."
"WA24-031","2024-08-26 11:27:38","929-945","995-1005","Subsecretaría de Trabajo — Sistema Público de Empleo","Laboral","fijo","50","70","2024-09-04","536749e7-3cd5-489e-a5a8-f2b1dded844d|ab585b01-1fb7-4db6-bd2d-868a3736284e|a0c86c2a-b190-4728-b176-05854cc28b11","one_offer_many_rows","El anuncio dice por error 2025, pero inscripción, recordatorio, base y prácticas indican 2024. La base divide el período en tres filas y 34 cupos.","Corregir año por evidencia convergente y consolidar cohortes/slots del mismo programa."
"WA24-032","2024-08-27 10:13:30","946-959","","ASER — Tratamiento de Adicciones y Alcoholismo","Clínica","desconocido","","variable","2024-09-02","1ff2bb8b-cc54-4856-a922-3acf561ea7ff","strong_match","Existe otra fila ASER iniciada 2024-08-02 sin anuncio asociado y dos prácticas comienzan 2024-09-05.","Vincular el lanzamiento de septiembre; tratar la fila de agosto como oferta no documentada separada."
"WA24-033","2024-08-27 16:37:10","960-988","1071-1088","Colegio Secundario Virgen del Luján","Educacional","fijo","6","24","2024-09-10","","missing_launch","El relanzamiento mueve la fecha al 10/09; no hay lanzamiento ni práctica 2024 con este nombre.","Crear lanzamiento histórico con resultado sin prácticas y registrar el relanzamiento como evento."
"WA24-034","2024-09-03 13:34:40","1006-1043","","Colegio San José Obrero","Educacional","fijo","8","60/24/16 por slot","2024-09-09 probable","49ac73ec-45f7-4a7d-96f9-db51c8ab075b|ace59edc-408f-4118-a049-323b8b9c1387","one_offer_many_rows_date_conflict","La corrección dice lunes 8/09, pero ese día fue domingo; la base y las prácticas apoyan 9/09. Hay tres actividades con horas distintas.","Modelar tres slots y usar 9/09 como fecha corregida con nota de inferencia."
"WA24-035","2024-09-04 20:13:18","1044-1070","","IFD N°6 — Nivel Medio","Educacional","fijo","8","24","2024-09-06/07","db2eb187-6070-4ad1-b279-f16e806ff332","strong_match_date_conflict","El anuncio dice 7/09 y el recordatorio del 5/09 dice que comienza al día siguiente; la base y prácticas usan 6/09 y guardan 6 cupos.","Adoptar 6/09 como fecha efectiva con nota de corrección; modelar turnos mañana/tarde."
"WA24-036","2024-09-06 15:27:56","1089-1112","","Municipalidad de Fernández Oro — Recursos Humanos","Laboral","fijo","9","50","2024-09-10","521a2f29-9387-457a-a235-acd5062cc420","strong_match","La base guarda 8 cupos y 7 prácticas.","Vincular fuente; capacidad ofrecida 9 y ocupación observada 7."
"WA24-037","2024-09-12 08:02:20","1114-1134","","CRYBE General Roca — segundo período","Clínica","fijo","2","120","2024-09-16","0a54cb88-cf82-4858-bf8c-35fdc4736e92","exact_match","Nombre, inicio, capacidad y horas coinciden.","Vincular fuente e institución."
"WA24-038","2024-09-23 13:48:38","1136-1153","","Instituto LIENS — segundo período","Clínica","fijo","4","50","2024-09-25","96d776d5-3b19-4842-b253-77b3bfb366bd","strong_match_date_conflict","La base y prácticas comienzan 2024-09-28 y guardan 2 cupos.","Validar fecha efectiva; separar capacidad ofrecida 4 de ocupación 2."
"WA24-039","2024-09-26 17:44:19","1156-1169","","Centro de Inclusión Social y Laboral APASIDO","Clínica","fijo","4","56","2024-10-01","f5542038-3816-4a12-bdbf-6df0d66395d7","strong_match","La base guarda 1 cupo y hay 2 prácticas; el recordatorio menciona jueves aunque los slots originales son martes/viernes.","Vincular fuente; revisar el recordatorio y modelar dos duplas como slots."
"WA24-040","2024-10-10 20:11:22","1173-1185","","Centro de Psicoterapia Corporal PATAGONIA — Mindfulness y Compasión","Clínica","fijo","14","25","2024-10-25","c48bde4f-ecd8-4ae3-9ab5-c505e55a6948","strong_match_capacity_conflict","Fechas y horas coinciden; la base guarda 22 cupos y hay 21 prácticas, por encima de los 14 ofrecidos.","Auditar sobreasignación/ampliación de cupo antes de corregir; conservar ambos valores con procedencia."
"WA24-041","2024-10-17 09:07:48","1186-1204","","Prevención de Consumos Problemáticos — segundo período","Comunitaria","fijo","8","24","2024-10-23","da99f1c4-1024-4047-af42-1511f003691a","strong_match_hours_conflict","La base guarda 40 horas y 6 cupos; el anuncio suma 9 horas de capacitación y 15 de talleres.","Validar si existieron horas adicionales; conservar 24 previstas del anuncio hasta contar con planilla."
"WA24-042","2024-11-05 08:28:33","1217-1238","","Subsecretaría de Promoción de Empleo y Formación Profesional","Laboral","fijo","14","48","2024-11-07","e0adbf36-e1a9-46f9-ac37-fddd788c8128","strong_match_capacity_conflict","La base guarda 4 cupos bajo Ministerio de Trabajo y Desarrollo Laboral.","Vincular fuente; modelar Intermediación Laboral (10) y Atención al Ciudadano (4) como slots."
